,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
2 May 2003,3.8000,6.1162,4.2662,3.2023,2.8241,0.0000,0.0000,2.1478,48.7234
5 May 2003,3.8000,6.0938,4.2626,3.1945,2.8241,0.0000,0.0000,2.1510,48.7234
6 May 2003,3.8000,6.1050,4.2863,3.2053,2.8297,0.0000,0.0000,2.1668,48.7234
7 May 2003,3.8000,6.1312,4.3365,3.2301,2.8653,0.0000,0.0000,2.1863,48.7234
8 May 2003,3.8000,6.0680,4.3141,3.2591,2.8711,0.0000,0.0000,2.1872,48.7234
9 May 2003,3.8000,6.0976,4.3783,3.2416,2.9002,0.0000,0.0000,2.1815,48.7234
12 May 2003,3.8000,6.0976,4.3917,3.2486,2.9078,0.0000,0.0000,2.1901,48.7234
13 May 2003,3.8000,6.1087,4.3630,3.2358,2.8835,0.0000,0.0000,2.1896,48.7258
16 May 2003,3.8000,6.1614,4.3309,3.2633,2.8736,0.0000,0.0000,2.2109,48.7234
19 May 2003,3.8000,6.1920,4.4405,3.2873,2.9326,0.0000,0.0000,2.2099,48.7234
20 May 2003,3.8000,6.1996,4.4248,3.2461,2.9274,0.0000,0.0000,2.2012,48.7258
21 May 2003,3.8000,6.2344,4.4543,3.2577,2.9464,0.0000,0.0000,2.2046,48.7234
22 May 2003,3.8000,6.2150,4.4248,3.2342,2.9274,0.0000,0.0000,2.1988,48.7234
23 May 2003,3.8000,6.2035,4.4346,3.2380,2.9274,0.0000,0.0000,2.2085,48.7258
26 May 2003,3.8000,6.2267,4.4883,3.2513,2.9429,0.0000,0.0000,2.2119,48.7258
27 May 2003,3.8000,6.2383,4.5208,3.2583,2.9603,0.0000,0.0000,2.2114,48.7258
28 May 2003,3.8000,6.2267,4.4903,3.2414,2.9507,0.0000,0.0000,2.2002,48.7258
29 May 2003,3.8000,6.2228,4.4703,3.2063,2.9326,0.0000,0.0000,2.1911,48.7282
30 May 2003,3.8000,6.2814,4.5188,3.2129,2.9577,0.0000,0.0000,2.1993,48.7282
2 Jun 2003,3.8000,6.1881,4.4504,3.1866,2.9121,0.0000,0.0000,2.1925,48.7282
3 Jun 2003,3.8000,6.2189,4.4643,3.2074,2.9189,0.0000,0.0000,2.1997,48.7258
4 Jun 2003,3.8000,6.1920,4.4543,3.1848,2.8960,0.0000,0.0000,2.2007,48.7258
5 Jun 2003,3.8000,6.1920,4.4228,3.2053,2.8835,0.0000,0.0000,2.2031,48.7258
6 Jun 2003,3.8000,6.3131,4.5025,3.2265,2.9189,0.0000,0.0000,2.2109,48.7258
9 Jun 2003,3.8000,6.3012,4.4366,3.2059,2.8760,0.0000,0.0000,2.2012,48.7258
10 Jun 2003,3.8000,6.2461,4.4524,3.2167,2.8877,0.0000,0.0000,2.2031,48.7282
11 Jun 2003,3.8000,6.2775,4.4366,3.2268,2.8910,0.0000,0.0000,2.1915,48.7258
12 Jun 2003,3.8000,6.3291,4.4623,3.2218,2.9019,0.0000,0.0000,2.1834,48.7258
13 Jun 2003,3.8000,6.3492,4.4703,3.2279,2.8994,0.0000,0.0000,2.1848,48.7234
16 Jun 2003,3.8000,6.3694,4.5188,3.2391,2.9274,0.0000,0.0000,2.1983,48.7234
17 Jun 2003,3.8000,6.3898,4.4964,3.2334,2.9129,0.0000,0.0000,2.1997,48.7234
18 Jun 2003,3.8000,6.3980,4.4763,3.2145,2.9053,0.0000,0.0000,2.1983,48.7258
19 Jun 2003,3.8000,6.3776,4.4346,3.2133,2.8686,0.0000,0.0000,2.1944,48.7258
20 Jun 2003,3.8000,6.3857,4.4543,3.2115,2.8868,0.0000,0.0000,2.1959,48.7234
23 Jun 2003,3.8000,6.3171,4.3995,3.2072,2.8531,0.0000,0.0000,2.1863,48.7258
24 Jun 2003,3.8000,6.3331,4.3879,3.2292,2.8686,0.0000,0.0000,2.1815,48.7258
25 Jun 2003,3.8000,6.3131,4.3687,3.2238,2.8571,0.0000,0.0000,2.1820,48.7258
26 Jun 2003,3.8000,6.3452,4.3783,3.2153,2.8547,0.0000,0.0000,2.1834,48.7258
