Macrotrends Data Download

Malaysia GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,1.9162294771366,244.611,0
1961-12-31,1.9018561227223,235.5297,7.598
1962-12-31,2.0014896021847,240.4418,6.421
1963-12-31,2.5101103481618,292.5758,7.3388
1964-12-31,2.6744239224884,302.6762,5.359
1965-12-31,2.9563376692952,325.1933,7.6849
1966-12-31,3.1435179438263,336.5564,7.8167
1967-12-31,3.1889246770895,332.8007,3.8571
1968-12-31,3.3303715512116,339.0965,7.978
1969-12-31,3.664552041343,364.2086,4.8885
1970-12-31,3.8641456674136,374.9229,5.9865
1971-12-31,4.2443959557836,402.2149,10.0347
1972-12-31,5.0433472504182,466.9066,9.3884
1973-12-31,7.6629026779027,692.6815,11.7011
1974-12-31,9.4962043017498,837.7634,8.3187
1975-12-31,9.298800799467,800.3824,0.8011
1976-12-31,11.050234598625,927.8052,11.5635
1977-12-31,13.139488632555,1075.3393,7.7531
1978-12-31,16.35807986211,1304.0673,6.6539
1979-12-31,21.213264962014,1647.6308,9.3491
1980-12-31,24.48822467721,1852.9636,7.4418
1981-12-31,25.004285791787,1843.3494,6.9421
1982-12-31,26.80449363533,1925.4678,5.9432
1983-12-31,30.347442110932,2123.2586,6.2522
1984-12-31,33.942897422046,2311.1704,7.7618
1985-12-31,31.19963335296,2065.0883,-1.0253
1986-12-31,27.734111399752,1782.5422,1.2406
1987-12-31,32.181210157967,2007.1729,5.1919
1988-12-31,35.272109220199,2134.5191,9.9377
1989-12-31,38.847965292919,2282.47,9.0596
1990-12-31,44.024585239614,2513.2414,9.0085
1991-12-31,49.143148094268,2727.5286,9.5455
1992-12-31,59.167550162956,3193.6354,8.8851
1993-12-31,66.894966968974,3511.5326,9.8949
1994-12-31,74.478356957781,3802.1076,9.212
1995-12-31,88.705342902711,4405.1168,9.8291
1996-12-31,100.85539391049,4874.8197,10.0027
1997-12-31,100.00532330187,4706.3149,7.3227
1998-12-31,72.16749898084,3308.8357,-7.3594
1999-12-31,79.148421052632,3538.363,6.1376
2000-12-31,93.789736842105,4087.5626,8.8589
2001-12-31,92.783947368421,3941.1227,0.5177
2002-12-31,100.84552631579,4177.1049,5.391
2003-12-31,110.20236842105,4454.5268,5.7885
2004-12-31,124.74947368421,4924.3381,6.7834
2005-12-31,143.5344058185,5536.8375,5.3321
2006-12-31,162.69225830706,6137.1505,5.5848
2007-12-31,193.54956947773,7144.0002,6.2988
2008-12-31,230.81161437038,8343.3034,4.8318
2009-12-31,202.25745303664,7167.8772,-1.5135
2010-12-31,255.01763845559,8880.1458,7.4248
2011-12-31,297.95166867483,10209.3719,5.2939
2012-12-31,314.44304764211,10601.5105,5.4735
2013-12-31,323.27623552442,10727.669,4.6937
2014-12-31,338.06609509725,11045.5801,6.0067
2015-12-31,301.35526696495,9699.6005,5.0915
2016-12-31,301.25603387033,9555.6696,4.4498
2017-12-31,319.10909416034,9979.7045,5.8127
2018-12-31,358.78884571253,11073.979,4.8431
2019-12-31,365.17772102152,11132.1027,4.4132
2020-12-31,337.45616396121,10164.3444,-5.4568
2021-12-31,373.83242805545,11134.623,3.2976
2022-12-31,407.02745171462,11993.1876,8.6503
